Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C027,0.1,5,0.5,1,1.5,3,477900,465928,0.974948734044779,27512,0.0575685289809584,0.0590477498669322,2501,979,0.362592592592593,120,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,922,111,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,15255,15.2030386740331,20,20
C028,0.1,5,0.5,1,1.5,5,477900,465928,0.974948734044779,26961,0.0564155681104834,0.0578651637162823,2307,969,0.358888888888889,114,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,897,102,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,14704,15.1050035236082,20,20
C029,0.1,5,0.5,1,2,3,477900,465928,0.974948734044779,20293,0.0424628583385646,0.0435539396644975,1904,744,0.275555555555556,114,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,654,98,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,8036,13.4965751737052,16,20
C030,0.1,5,0.5,1,2,5,477900,465928,0.974948734044779,20045,0.0419439213224524,0.0430216685839872,1785,738,0.273333333333333,110,5,12257,0.0263066396524785,1001,301,0.111481481481481,96,5,634,91,12197,764,4375,3229,10,7371,461,321,0,3978,1849,0,6745,395,77,0,7788,13.4161137440758,16,20
C031,0.1,5,0.5,2,1.25,3,477900,466806,0.976785938480854,30252,0.0633019460138104,0.0648063649567486,2546,1032,0.382222222222222,119,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,989,115,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,22064,17.056822689409,20,20
C032,0.1,5,0.5,2,1.25,5,477900,466806,0.976785938480854,28690,0.0600334798074911,0.0614602211625386,2235,1016,0.376296296296296,117,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,969,111,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,20502,16.896584175671,20,20
C033,0.1,5,0.5,2,1.5,3,477900,466806,0.976785938480854,23597,0.0493764385854781,0.0505499072419806,2118,936,0.346666666666667,116,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,884,110,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,15409,16.2267661143366,20,20
C034,0.1,5,0.5,2,1.5,5,477900,466806,0.976785938480854,23006,0.0481397781962754,0.0492838566770778,1921,928,0.343703703703704,114,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,872,106,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,14818,16.1298356950361,20,20
C035,0.1,5,0.5,2,2,3,477900,466806,0.976785938480854,16192,0.0338815651810002,0.0346867863737827,1451,694,0.257037037037037,111,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,618,100,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,8004,14.5011734189723,20,20
C036,0.1,5,0.5,2,2,5,477900,466806,0.976785938480854,15973,0.0334233103159657,0.0342176407329812,1350,687,0.254444444444444,110,5,8188,0.0175404772003787,613,249,0.0922222222222222,86,5,605,97,7828,797,4417,3543,22,1675,461,354,0,4092,2948,0,953,395,296,0,7785,14.4257810054467,20,20
