Family,TargetReferenceSpeed,LoadIndex,EpisodeCount,PositiveEpisodeCount,PositiveEpisodeFraction,EligibleStepCount,PositiveStepCount,PositiveEligibleFraction,PositiveOnsetCount
vertical_circle,6,2,21,9,0.428571428571429,3475,237,0.0682014388489209,13
vertical_circle,6,3,23,10,0.434782608695652,3770,395,0.104774535809019,20
vertical_circle,8,1,23,7,0.304347826086957,4026,129,0.0320417287630402,7
vertical_circle,8,2,23,12,0.521739130434783,3903,341,0.0873686907507046,14
vertical_circle,8,3,22,10,0.454545454545455,3585,319,0.0889818688981869,14
vertical_circle,10,1,22,5,0.227272727272727,3890,88,0.0226221079691517,5
vertical_circle,10,2,23,7,0.304347826086957,4020,125,0.0310945273631841,8
vertical_circle,10,3,22,8,0.363636363636364,3729,252,0.0675784392598552,8
vertical_circle,12,1,23,6,0.260869565217391,3960,149,0.0376262626262626,9
vertical_circle,12,2,22,8,0.363636363636364,3616,308,0.0851769911504425,13
vertical_circle,12,3,22,6,0.272727272727273,3814,154,0.0403775563712638,8

