CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C041,0.1,10,0.75,1,2,3,477900,466648,0.976455325381879,17635,0.0369010253191044,0.0377907973461796,1704,610,0.225925925925926,111,5,11910,781,5664,12.7004819960306,14,20
C042,0.1,10,0.75,1,2,5,477900,466648,0.976455325381879,17397,0.0364030131826742,0.0372807769453635,1570,599,0.221851851851852,107,5,11910,781,5426,12.6006207966891,14,20
C043,0.1,10,1,1,1.25,3,477900,466648,0.976455325381879,31787,0.0665139150449885,0.0681177247089884,2631,998,0.36962962962963,120,5,11910,781,19816,15.950325604807,20,20
C044,0.1,10,1,1,1.25,5,477900,466648,0.976455325381879,30578,0.0639840970914417,0.0655269067905573,2356,980,0.362962962962963,114,5,11910,781,18607,15.7902086467395,20,20
C045,0.1,10,1,1,1.5,3,477900,466648,0.976455325381879,24567,0.0514061519146265,0.0526456772556617,2223,865,0.32037037037037,119,5,11910,781,12596,14.760166076444,20,20
C046,0.1,10,1,1,1.5,5,477900,466648,0.976455325381879,24076,0.0503787403222431,0.051593492311121,2031,852,0.315555555555556,113,5,11910,781,12105,14.6533061970427,20,20
C047,0.1,10,1,1,2,3,477900,466648,0.976455325381879,17655,0.0369428750784683,0.037833656203391,1708,613,0.227037037037037,111,5,11910,781,5684,12.7087510620221,14,20
C048,0.1,10,1,1,2,5,477900,466648,0.976455325381879,17398,0.0364051056706424,0.0372829198882241,1570,603,0.223333333333333,107,5,11910,781,5427,12.6010460972526,14,20
C049,0.1,15,0.3,1,1.25,3,477900,466514,0.976174931994141,31716,0.0663653483992467,0.0679850979820541,2635,962,0.356296296296296,120,5,12126,782,19529,15.8343738176315,20,20
C050,0.1,15,0.3,1,1.25,5,477900,466514,0.976174931994141,30360,0.0635279347143754,0.065078432801588,2361,933,0.345555555555556,118,5,12126,782,18173,15.6483201581028,20,20
C051,0.1,15,0.3,1,1.5,3,477900,466514,0.976174931994141,24245,0.050732370788868,0.0519705732303854,2203,799,0.295925925925926,117,5,12126,782,12058,14.5507527325222,20,20
C052,0.1,15,0.3,1,1.5,5,477900,466514,0.976174931994141,23799,0.0497991211550534,0.0510145461872527,2025,782,0.28962962962963,113,5,12126,782,11612,14.4486322954746,20,20
C053,0.1,15,0.3,1,2,3,477900,466514,0.976174931994141,17391,0.036390458254865,0.0372786240069966,1690,577,0.213703703703704,113,5,12126,782,5204,12.4031395549422,13,20
C054,0.1,15,0.3,1,2,5,477900,466514,0.976174931994141,17205,0.0360012554927809,0.0368799221459592,1578,560,0.207407407407407,109,5,12126,782,5018,12.3210113339146,13,20
C055,0.1,15,0.5,1,1.25,3,477900,466691,0.976545302364511,31253,0.0653965264699728,0.0669672224234022,2610,971,0.35962962962963,120,5,11953,783,19239,15.8563017950277,20,20
