CaseIndex,Family,LoadName,TargetSpeed,AccelerationTarget,GeometryScale,PeakSpeed,SpeedRelativeError,PeakAcceleration,AccelerationRelativeError,PeakHorizontalAcceleration,PeakTiltDeg,PeakThrustFraction,PeakMomentFraction,PeakInputFraction,PeakBodyRate,MinimumCosPitch,DynamicResidualP95,DynamicResidualMax,StateBoundViolation,PhysicalFeasible,RobustTrainCandidate
50,vertical_circle,moderate,0.5,0.462962962962963,0.54,0.5,0,0.462921618641449,8.93037344699588e-05,0.4627975989687,2.70396898921765,0.26179363972302,0.000427346272197284,0.26179363972302,0.0458253394331027,0.998886609410588,0.000178593118089415,0.000178593118305272,-1.17453731466236,1,1
51,vertical_circle,hard,0.5,0.833333333333333,0.3,0.5,0,0.833092227720382,0.000289326735541717,0.832369162003103,4.86729266905443,0.271212139604097,0.00377388054392384,0.271212139604097,0.154279542217929,0.996393894151596,0.000578504668291221,0.000578504821696442,-1.13678019366285,1,1
52,vertical_circle,mild,1,0.740740740740741,1.35,1,0,0.740698403747169,5.71549413217964e-05,0.740571401477564,4.32944704911388,0.268871937704297,0.00190747976305112,0.268871937704297,0.0604576086092868,0.997146466663476,0.000228608021419724,0.000228608023836041,-1.14616737059824,1,1
53,vertical_circle,moderate,1,1.85185185185185,0.54,1,0,1.8511903958748,0.000357186227607675,1.8492068784556,10.8650715453751,0.297123924103834,0.00796259023964762,0.297123924103834,0.429022616582997,0.98207380593441,0.00142861288712367,0.00142866471842015,-1.03209920446449,1,1
54,vertical_circle,hard,1,3.33333333333333,0.3,1,0,3.32947664801241,0.00115700559627703,3.3179226538683,19.7665640022613,0.334554101103197,0.0656093613760972,0.334554101103197,1.67742688655719,0.941078285428708,0.00495821285151445,0.00502567494994704,-0.876738852750384,1,1
55,vertical_circle,mild,2,2,2,2,0,1.99979167317699,0.000104163411506764,1.99916677082713,11.7580634784081,0.300943220040112,0.00415469705605844,0.300943220040112,0.255732340226204,0.979016803420545,0.000833255798292619,0.000833258317161848,-1.01651355503931,1,1
56,vertical_circle,moderate,2,5,0.8,2,0,4.99674542739042,0.000650914521916945,4.98698933540911,30.552385974451,0.377088819788738,0.0660464382398328,0.377088819788738,2.53578100106663,0.861164754111446,0.00755868199385206,0.00859801515605391,-0.688490746801725,1,1
57,vertical_circle,hard,2,9,0.54366292898403,2,0,7.34713245527619,0.183651949413757,7.3160824051624,48.227085282332,0.436438085909627,0.4949491562709,0.4949491562709,9.1033415093049,0.666179988889251,0.238823744776691,0.348099234115773,-0.380009049579238,1,1
58,vertical_circle,mild,4,2,8,4,0,1.99994791707357,2.60414632169415e-05,1.99979167317699,11.7623540032881,0.30096117825681,0.00314186468686296,0.30096117825681,0.127998065046236,0.979001540892602,0.000416654483331842,0.000416654562261079,-1.01643867125352,1,1
59,vertical_circle,moderate,4,5,3.2,4,0,4.99918623765217,0.000162752469565497,4.99674542739042,30.6181653496527,0.377337666067804,0.0177429525602307,0.377337666067804,1.29114295419309,0.860580594629049,0.00269923622594912,0.00275433993952867,-0.68734268012455,1,1
60,vertical_circle,hard,4,9,2.17465171593612,4,0,7.35490729157241,0.182788078714176,7.34713245527619,48.5013744091099,0.437229839048216,0.176594424614699,0.437229839048216,5.2195342049213,0.662602082102051,0.0300993408665444,0.0614190388574519,-0.375221801214544,1,1
61,vertical_circle,mild,6,2,18,6,1.48029736616688e-16,1.99997685193223,1.15740338864079e-05,1.99990740869341,11.7640003633487,0.263907382953795,0.000840356138822122,0.263907382953795,0.0853437904174865,0.978995682898452,0.0002777740355243,0.000277774040552526,-1.01640993684979,1,1
62,vertical_circle,moderate,6,5,7.2,6,1.48029736616688e-16,4.99963831803427,7.23363931451004e-05,4.99855336632229,30.6312153690581,0.377382908330704,0.0227577891546101,0.377382908330704,0.863572915104618,0.860464567929271,0.00175288159272529,0.0017566123518801,-0.687114914318476,1,1
63,vertical_circle,hard,6,9,4.89296636085627,6,1.48029736616688e-16,7.35634761745656,0.182628042504827,7.35289111959345,48.5530471822582,0.437379635790668,0.0861674303281195,0.437379635790668,3.58537911944749,0.661926345169518,0.00925409006643135,0.0198483433604383,-0.37431994118947,1,1
64,vertical_circle,mild,8,2,32,8,0,1.9999869791921,6.5104039510544e-06,1.99994791707357,11.7618016164201,0.255091442260738,0.00103461301518169,0.255091442260738,0.0640159926998044,0.979003506186196,0.000208331733739598,0.000208331734416542,-1.01644831222311,1,1
65,vertical_circle,moderate,8,5,12.8,8,0,4.99979655196268,4.06896074641949e-05,4.99918623765217,30.6373478304163,0.377399819801546,0.00543123613971929,0.377399819801546,0.648486961319697,0.860410029278672,0.00130511223756898,0.0013069734116148,-0.687007882676525,1,1
66,vertical_circle,hard,8,9,8.69860686374448,8,0,7.35685177149298,0.182572025389668,7.35490729157241,48.5726924016954,0.437407130088292,0.0507231950356132,0.437407130088292,2.71765715599522,0.661669298762605,0.00569572594366867,0.00889280445493592,-0.373977067428014,1,1
67,vertical_circle,mild,10,2.22222222222222,45,10,1.77635683940025e-16,2.22221079105559,5.14402498357214e-06,2.22217649776739,13.0904042832927,0.256351875944873,0.00163174353107243,0.256351875944873,0.0650783480008264,0.974013912466755,0.000205760078206922,0.000205760078829639,-0.993259821235404,1,1
68,vertical_circle,moderate,10,5,20,10,1.77635683940025e-16,4.99986979268392,2.60414632169415e-05,4.99947918294247,30.6427426496075,0.377404087124811,0.00632089945870593,0.377404087124811,0.519240116958994,0.860362042651656,0.00104285181522773,0.00104326703560419,-0.686913725319088,1,1
69,vertical_circle,hard,10,9,13.5915732246007,10,1.77635683940025e-16,7.35708512980781,0.182546096688021,7.35584060344712,48.5759534142382,0.437456372213363,0.0332917408880977,0.437456372213363,2.1844639913064,0.661626622758794,0.00259542152253738,0.0049151317338487,-0.373920152022192,1,1
70,vertical_circle,mild,12,3.2,45,12,1.48029736616688e-16,3.19997629634897,7.4073909464567e-06,3.19990518602798,19.0339540127961,0.262826976575263,0.000929347676998315,0.262826976575263,0.12908079672015,0.945325474862433,0.000355553480349312,0.000355553524452722,-0.889525309199551,1,1
71,vertical_circle,moderate,12,5,28.8,12,1.48029736616688e-16,4.99990957803687,1.8084392626605e-05,4.99963831803427,30.6457546046593,0.364328963260248,0.00510978292943183,0.364328963260248,0.432708466762971,0.860335248155122,0.000868565307819878,0.000868693167680014,-0.686861156786512,1,1
72,vertical_circle,hard,12,9,19.5718654434251,12,1.48029736616688e-16,7.35721189421067,0.182532011754369,7.35634761745656,48.5884168652955,0.437468908695132,0.023575729563949,0.437468908695132,1.82554465525201,0.661463497141624,0.0021472900640969,0.00316347925012536,-0.373702623765082,1,1
73,spatial_helix,mild,0.5,0.2,1.25,0.5,0,0.197294400586327,0.0135279970683637,0.196919845380801,1.15135775340135,0.250050870100103,0.000311150845172894,0.250050870100103,0.00797647172171537,0.999798118563813,3.25820771702683e-05,3.2582315309851e-05,-1.20163549256813,1,1
74,spatial_helix,moderate,0.5,0.462962962962963,0.54,0.5,0,0.455234750689011,0.0166929385117356,0.454161568341871,2.65850090900506,0.25106277677491,0.00164605594881483,0.25106277677491,0.0425695787650262,0.998924218294359,0.000173654124363327,0.000173655410077627,-1.17533087483881,1,1
75,spatial_helix,hard,0.5,0.833333333333333,0.3,0.5,1.11022302462516e-16,0.789939563596258,0.0520725236844898,0.784100149877433,4.61491729185145,0.25328563035096,0.00494581016040464,0.25328563035096,0.130288642646765,0.996762393451611,0.000529479511172262,0.00052953457860958,-1.14117280827424,1,1
76,spatial_helix,mild,1,0.740740740740741,1.35,1,0,0.73060372096203,0.0136849767012601,0.729303684996465,4.27077277458863,0.251266358383938,0.00212133002116483,0.251266358383938,0.0548767346156238,0.997224101385358,0.000223465414719353,0.000223466398066318,-1.14718921124914,1,1
77,spatial_helix,moderate,1,1.85185185185185,0.54,1,0,1.81863770196421,0.0179356409393241,1.8161687924263,10.6112587186374,0.25740047118021,0.0127713875320342,0.25740047118021,0.343099028254746,0.982909467055578,0.00139554565114137,0.00139630583438091,-1.03639822310563,1,1
78,spatial_helix,hard,1,3.33333333333333,0.3,1,1.11022302462516e-16,3.1480703083543,0.0555789074937102,3.13383852961351,18.3482516902469,0.271896445689559,0.0435997402388661,0.271896445689559,1.06611797037303,0.949186584542934,0.00503218184528544,0.00523443852188597,-0.900769156603114,1,1
